Time,bitfinex,bitstamp,btcchina,coinbase,huobi,kraken,lakebtc,mtgox,okcoin,others
2014-12-06 00:00:00 UTC,9095.07782377001,2378.72290946,110832.930000001,0.015,70760.303100002,671.31748304,19023.12018,,85283.8920000026,12982.831736640002
2014-12-07 00:00:00 UTC,4911.27297998,2498.07422051,91150.2220000008,,28928.7230999999,563.21947721,14473.2656,,47930.6960000003,10158.825455469998
2014-12-08 00:00:00 UTC,18445.05607702,12303.3330364,144290.557700002,0.235,112732.564000003,1691.03926087,19888.11064,,96019.1540000039,17176.537151980006
2014-12-09 00:00:00 UTC,35819.34212904,19034.00880696,182571.653300002,,117779.854900002,2903.28638053,21629.77376,,178705.838000001,22766.24645997999
2014-12-10 00:00:00 UTC,12333.0905763,6963.58163103,144611.445600001,0.02,41931.0447000002,1619.19819954,12492.53773,,77741.3080000005,16590.30110317
2014-12-11 00:00:00 UTC,34756.88739451,16160.42382869,276461.028800003,,103836.842200004,2284.66660735,23705.04306,,210949.035000003,21941.05624313999
2014-12-12 00:00:00 UTC,11747.11105433,8079.673382,113781.461500001,3.15,60581.4376000012,1073.29681082,20454.82094,,85583.8160000012,15211.276372140002
2014-12-13 00:00:00 UTC,10150.79079668,3845.22734297,91030.3534000007,,53923.7244000006,1043.77931882,16851.71605,,84981.1430000007,8398.677176329998
2014-12-14 00:00:00 UTC,9209.64827543999,6538.8096002,102642.375500001,,34135.3069,984.02299303,14443.23772,,56662.4579999999,10596.991827169988
2014-12-15 00:00:00 UTC,11205.54023063,8087.57623500999,60535.8445000003,,36886.5730000004,1279.50489921,22197.39316,,52237.5579999996,18781.5985065
2014-12-16 00:00:00 UTC,31193.94888573,18188.66639347,157384.672000002,,100908.876300004,2665.38880018,27028.04267,,117720.545000004,34183.126494489996
2014-12-17 00:00:00 UTC,37507.49262571,22712.37442629,159576.211100003,,106935.359300004,2717.26438547,22877.57711,,164611.433000006,39313.429273929985
2014-12-18 00:00:00 UTC,48437.46324857,21603.61278539,205968.437800002,2.0,116062.436600004,2572.09281855,21616.4415,,199015.958000002,41926.36911996001
2014-12-19 00:00:00 UTC,23129.50810416,15995.61891376,140013.750700001,,56503.319900001,2177.95871041,16415.46317,,116329.486000003,37260.872831140005
2014-12-20 00:00:00 UTC,20230.00227581,11378.12706315,150315.601900001,,86007.7933000025,2181.37982512,16659.08538,,140764.200000006,21850.303240749996
2014-12-21 00:00:00 UTC,15844.3314853801,6356.0235453,148984.284600001,,40828.4696000002,975.38786055,12611.47142,,75219.0660000005,16797.27251649
2014-12-22 00:00:00 UTC,20417.86302566,11815.58681084,109736.919300001,,67327.5623000029,2014.09153933,15653.00002,,111451.324,37032.32955607001
2014-12-23 00:00:00 UTC,11857.41524855,7679.77400906,144394.927100002,,76577.6657000025,1715.28834321,14364.36671,,120384.537000002,26305.250887650003
2014-12-24 00:00:00 UTC,13880.72485499,5884.87599768,89922.7238000008,,38911.1824000002,1328.78872657,12224.43888,,68603.6020000007,20870.99416931
2014-12-25 00:00:00 UTC,7461.24419785,3888.24814964,93770.1478000007,,53092.9638000006,752.09036008,11572.97878,,82625.974000002,9846.93965188
2014-12-26 00:00:00 UTC,14115.50408175,6404.37642025,104595.792400001,,53633.0523000005,853.46106947,14685.79057,,113995.503000004,17141.302885720004
2014-12-27 00:00:00 UTC,17451.10034649,8688.16956565,220652.8048,,62096.3864000009,897.49125309,15633.83171,,152221.197000002,15019.85021645
2014-12-28 00:00:00 UTC,9755.01879016,4122.32985359,81254.5554000005,,43655.1822000002,546.46893809,12970.03459,,79979.329000002,11017.300836559998
2014-12-29 00:00:00 UTC,8180.84794242,6929.62620397,132514.676200002,,80683.6920000004,1305.34641602,13873.42252,,92366.7600000027,29823.031049110003
2014-12-30 00:00:00 UTC,10131.5798437,8885.65978227,98078.6664000013,,36001.8767000008,1424.98257017,12891.8745,,75505.7860000006,25455.111462229994
2014-12-31 00:00:00 UTC,11799.34269406,6338.16946878,92540.3830000009,,39449.4938999999,686.58082385,14066.26419,,79536.6760000004,24527.437754349998
2015-01-01 00:00:00 UTC,5178.76754651,3087.46820496,71805.4718000005,,23772.2974999997,404.76273702,10644.92565,,46968.1119999997,11297.55846053
2015-01-02 00:00:00 UTC,3834.54400829,3468.28137523,64235.2499000006,,17336.1247999998,936.52107904,9410.64809,,37818.1289999997,21894.97398606
2015-01-03 00:00:00 UTC,47380.8125807501,21481.70524194,135805.881900004,,83768.7988000035,2372.33063854,13849.194,,151751.150000007,31766.6270776999
2015-01-04 00:00:00 UTC,81273.8104161,41712.29245721,277925.751800001,,124692.899400007,3621.03260288,21870.6238,,248308.151000008,43798.022018399904
2015-01-05 00:00:00 UTC,50869.7346780001,9528.17100203,191400.503200002,,99860.3555000031,3814.37378305,19914.44646,,203032.747000006,35508.308230840004
2015-01-06 00:00:00 UTC,36115.59028905,,120716.111100001,,72796.1947000016,3471.51389925,17734.83055,,110009.41,37235.14040904996
2015-01-07 00:00:00 UTC,31046.89416907,,122397.392100001,,95613.2870000023,3438.96240539,21400.9442,,130479.933000003,32590.28897121
2015-01-08 00:00:00 UTC,32664.98165628,,108125.521200001,10.35,60603.5505000004,2577.30718493,18420.70588,,101434.600000002,37773.47268638999
2015-01-09 00:00:00 UTC,28829.15875355,9914.24959430999,106566.145100001,,51042.2300000004,2677.97304606,15712.57691,,94182.0000000011,35566.85913752001
2015-01-10 00:00:00 UTC,25031.95462855,29448.7778452,111906.898400001,,64520.1718000012,2194.60685204,18347.3283,,99724.9580000027,36709.53259117999
2015-01-11 00:00:00 UTC,22815.02462215,12758.94904418,97080.9325000008,,56594.3113000008,1837.88763395,15655.23984,,86580.3000000013,31741.658859409974
2015-01-12 00:00:00 UTC,21418.47995843,10477.75021362,109650.051400001,,58839.3526000009,2127.16215781,17148.8258,,85920.9840000007,39998.31156368
2015-01-13 00:00:00 UTC,150459.101948322,60513.8859723201,312449.726300002,1.0,162737.620300011,8753.63813419,17028.09072,,284428.015000015,99958.13680912998
2015-01-14 00:00:00 UTC,269565.29979513,124220.32186504,233283.833900003,11.30463778,254536.83750001,12548.66926059,16862.12144,,440365.607000008,122812.47915439027
2015-01-15 00:00:00 UTC,184371.653532241,83499.7561471002,359581.3682,2.97732076,188734.023700015,11619.84054128,15195.89864,,355874.172000013,94720.34655832949
2015-01-16 00:00:00 UTC,80331.46518955,34723.34835252,319799.273600001,4.69,137322.445900008,5920.28377183,13937.29456,,267914.329000017,52384.50273642992
2015-01-17 00:00:00 UTC,48910.3651222001,19090.73086982,185116.778100004,0.112,104482.898100007,2767.00653011,13917.04327,,172719.65500001,41815.94971102
2015-01-18 00:00:00 UTC,65571.7295600501,18236.33897152,224005.777600003,,118301.164800004,4503.70725774,9425.72463,,219154.081000004,42526.68867287
2015-01-19 00:00:00 UTC,32438.30549401,13037.39910942,211138.538300003,0.41,88185.9183000042,2948.34901166,17783.02463,,145062.417000007,40316.33223046
2015-01-20 00:00:00 UTC,52169.96449952,14084.94835956,168123.065400004,0.04,82035.8846000057,4371.30756272,16878.61854,,132905.870000005,39067.07492239
2015-01-21 00:00:00 UTC,57794.8859802903,23200.38461276,162615.01090001,0.13770722,54497.2192000013,4935.09330844,15700.51701,,141166.369000018,44971.52531479999
2015-01-22 00:00:00 UTC,57343.0143833401,25409.89373734,229368.785300008,4.35999999999999,120492.38200001,5912.21557786,19244.18186,,206590.620000016,40913.06578400991
2015-01-23 00:00:00 UTC,40153.10221794,15268.26848621,233974.633299998,0.180001,84599.2633000053,3983.69862357,16428.35429,,162646.475000013,35810.97077331999
2015-01-24 00:00:00 UTC,40097.04259395,13792.77647935,205188.064700007,1.74,103486.640100009,3555.91929574,15439.19774,,173155.547000014,31874.007964289896
2015-01-25 00:00:00 UTC,54049.0814030401,28761.92842785,196004.577200007,478.75554094,105477.711300009,3621.70947583,14935.63357,,171689.625000018,29890.31632842
2015-01-26 00:00:00 UTC,205992.02467917,55829.6135941801,446233.984100008,5284.96013914,313926.366500012,10215.25479643,19405.47461,,429272.600000005,99107.68411168011
2015-01-27 00:00:00 UTC,81712.8671480201,21159.82627628,270182.00740001,2029.15802391,138936.504200021,5588.42357166,15149.2182,,230344.113000022,48454.40209145998
2015-01-28 00:00:00 UTC,87045.9806321602,28090.53017876,154990.873900005,5915.26107078999,107969.303600009,5039.92549293,15462.91202,,194967.004000016,59700.38805441011
2015-01-29 00:00:00 UTC,60109.92091168,26004.92531501,287824.531200002,6639.4916479,115420.058700007,5732.81249497,17246.16061,,190053.375000014,41876.4018838399
2015-01-30 00:00:00 UTC,51255.89170595,20620.22559329,224764.893100006,5775.21595219,88277.0551000076,2995.40955369,7825.83093,,169295.962000011,40638.67821775999
2015-01-31 00:00:00 UTC,48931.51091027,19210.27905286,207782.211700006,5595.65709079,84707.6722000086,2605.99665059,5215.2694,,139116.925000012,34889.39786979
2015-02-01 00:00:00 UTC,55663.9559838201,18408.91302142,179264.697300013,7233.47472195,92842.3462000259,4319.6654596,6296.50312,,181606.582000044,37346.67303405
2015-02-02 00:00:00 UTC,52340.34350408,15611.23302755,196711.534200014,7451.63421617999,107869.601800015,4924.29461055,5274.88705,,184058.181000025,40888.22554501
2015-02-03 00:00:00 UTC,81380.3036724101,17502.09471261,266492.93820001,8320.81458864,130385.091700016,6006.30214406,8204.3963,,230824.37300003,45997.032111449895
2015-02-04 00:00:00 UTC,44325.9858320201,14337.45515381,159511.370200005,9136.36817442,88557.1770000132,3862.82494506,9371.8855,,154532.660000023,32578.926316259993
2015-02-05 00:00:00 UTC,37872.25224452,12982.85705784,161276.251200007,7417.76102893001,74712.3762000069,2932.4701968,13260.1552,,130763.822000015,42713.04436946997
2015-02-06 00:00:00 UTC,35652.27922933,10913.67926753,214389.792100011,5622.36702734,78566.2016000071,3357.18685317,14798.555,,146963.669000029,46417.637025129996
2015-02-07 00:00:00 UTC,35471.8367737301,9701.55213608,181187.399000009,4109.80254703,76283.3712000046,1944.74524685,13945.1322,,134770.714000023,28798.974322529997
2015-02-08 00:00:00 UTC,26127.26354732,13775.23949471,151887.015700007,4294.59519081,65296.3374000032,1722.94660091,13661.5522,,90788.6450000074,19257.793661379998
2015-02-09 00:00:00 UTC,48175.34835692,19030.9426074,135717.591300006,6550.92796821,58201.2482000025,3280.2703213,12953.9325,,104824.717000004,36512.10325135
2015-02-10 00:00:00 UTC,29287.58484415,6882.64684416,129045.495400006,5284.35358757,49256.2291000001,2445.70496721,11995.69528,,99984.4880000035,34274.29017854999
