Date,market_dominance
2016-07-24,80.96
2016-07-25,80.22
2016-07-26,80.88
2016-07-27,80.69
2016-07-28,80.66
2016-07-29,80.91
2016-07-30,80.94
2016-07-31,80.66
2016-08-01,80.68
2016-08-02,80.25
2016-08-03,80.31
2016-08-04,80.02
2016-08-05,79.67
2016-08-06,78.32
2016-08-07,78.7
2016-08-08,78.54
2016-08-09,79.57
2016-08-10,80.05
2016-08-11,78.96
2016-08-12,78.89
2016-08-13,78.84
2016-08-14,78.54
2016-08-15,78.69
2016-08-16,79.48
2016-08-17,79.01
2016-08-18,79.01
2016-08-19,78.93
2016-08-20,78.92
2016-08-21,79.13
2016-08-22,79.28
2016-08-23,79.39
2016-08-24,79.39
2016-08-25,79.48
2016-08-26,79.53
2016-08-27,79.47
2016-08-28,79.44
2016-08-29,78.82
2016-08-30,79.2
2016-08-31,79.05
2016-09-01,78.6
2016-09-02,78.48
2016-09-03,79.22
2016-09-04,79.27
2016-09-05,79.07
2016-09-06,79.36
2016-09-07,79.52
2016-09-08,79.89
2016-09-09,79.78
2016-09-10,79.38
2016-09-11,79.57
2016-09-12,79.37
2016-09-13,79.37
2016-09-14,79.4
2016-09-15,79.08
2016-09-16,78.97
2016-09-17,78.89
2016-09-18,79.14
2016-09-19,78.69
2016-09-20,78.08
2016-09-21,78.29
2016-09-22,78.43
2016-09-23,78.4
2016-09-24,78.49
2016-09-25,78.3
2016-09-26,78.75
2016-09-27,78.54
2016-09-28,78.19
2016-09-29,78.38
2016-09-30,78.46
2016-10-01,79.03
2016-10-02,78.86
2016-10-03,78.72
2016-10-04,78.9
2016-10-05,78.59
2016-10-06,78.81
2016-10-07,79.24
2016-10-08,79.46
2016-10-09,79.44
2016-10-10,79.58
2016-10-11,80.31
2016-10-12,80.29
2016-10-13,80.19
2016-10-14,80.49
2016-10-15,80.72
2016-10-16,80.27
2016-10-17,80.22
2016-10-18,79.84
2016-10-19,80.01
2016-10-20,79.88
2016-10-21,79.8
2016-10-22,80.42
2016-10-23,80.36
2016-10-24,80.48
